location,primary_contact_source,mistry_2021,prem_2021,prem_2017,population_source
Afghanistan,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Albania,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Algeria,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Andorra,prem_2017,False,False,True,https://population.un.org/wpp/Download/Standard/CSV/
Angola,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Antigua_and_Barbuda,prem_2017,False,False,True,https://population.un.org/wpp/Download/Standard/CSV/
Argentina,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Armenia,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Australia,mistry_2021,True,False,True,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Australia_Australian_Capital_Territory,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Australia_New_South_Wales,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Australia_Northern_Territory,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Australia_Queensland,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Australia_South_Australia,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Australia_Tasmania,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Australia_Victoria,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Australia_Western_Australia,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Austria,mistry_2021,True,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Azerbaijan,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Bahamas,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Bahrain,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Bangladesh,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Barbados,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Belarus,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Belgium,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Belize,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Benin,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Bhutan,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Bolivia,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Bosnia_and_Herzegovina,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Botswana,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Brazil,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Brunei,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Bulgaria,mistry_2021,True,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Burkina_Faso,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Burundi,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Cabo_Verde,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Cambodia,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Cameroon,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Canada,mistry_2021,True,True,True,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_Alberta,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_British_Columbia,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_Manitoba,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_New_Brunswick,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_Newfoundland_and_Labrador,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_Northwest_Territories,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_Nova_Scotia,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_Nunavut,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_Ontario,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_Prince_Edward_Island,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_Quebec,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_Saskatchewan,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_Yukon,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Central_African_Republic,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Chad,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Chile,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
China,mistry_2021,True,True,True,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Anhui,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Beijing,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Chongqing,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Fujian,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Gansu,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Guangdong,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Guangxi,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Guizhou,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Hainan,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Hebei,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Heilongjiang,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Henan,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Hubei,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Hunan,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Inner_Mongolia,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Jiangsu,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Jiangxi,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Jilin,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Liaoning,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Ningxia,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Qinghai,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Shaanxi,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Shandong,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Shanghai,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Shanxi,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Sichuan,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Tianjin,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Tibet,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Xinjiang,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Yunnan,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Zhejiang,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Colombia,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Comoros,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Congo,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Costa Rica,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Cote_dIvoire,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Croatia,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Cuba,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Cyprus,mistry_2021,True,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Czech_Republic,mistry_2021,True,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Democratic_Republic_of_the_Congo,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Denmark,mistry_2021,True,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Djibouti,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Dominican_Republic,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Ecuador,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Egypt,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
El_Salvador,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Equatorial_Guinea,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Eritrea,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Estonia,mistry_2021,True,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Eswatini,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Ethiopia,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Fiji,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Finland,mistry_2021,True,True,True,https://population.un.org/wpp/Download/Standard/CSV/
France,mistry_2021,True,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Gabon,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Gambia,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Georgia,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Germany,mistry_2021,True,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Ghana,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Greece,mistry_2021,True,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Guatemala,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Guinea,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Guinea-Bissau,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Guyana,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Haiti,prem_2017,False,False,True,https://population.un.org/wpp/Download/Standard/CSV/
Honduras,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Hong_Kong,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Hungary,mistry_2021,True,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Iceland,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
India,mistry_2021,True,True,True,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Andaman_and_Nicobar_Islands,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Andhra_Pradesh,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Arunachal_Pradesh,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Assam,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Bihar,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Chhattisgarh,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Daman_and_Diu,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Goa,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Gujarat,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Haryana,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Himachal_Pradesh,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Jammu_and_Kashmir,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Jharkhand,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Karnataka,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Kerala,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Madhya_Pradesh,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Maharashtra,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Manipur,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Meghalaya,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Mizoram,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Nagaland,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Nct_of_Delhi,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Odisha,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Puducherry,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Punjab,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Rajasthan,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Sikkim,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Tamil_Nadu,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Tripura,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Uttar_Pradesh,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Uttarakhand,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_West_Bengal,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Indonesia,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Iran,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Iraq,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Ireland,mistry_2021,True,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Israel,mistry_2021,True,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Italy,mistry_2021,True,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Jamaica,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Japan,mistry_2021,True,False,True,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Aichi-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Akita-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Aomori-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Chiba-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Ehime-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
