I,date
15,2019-12-01
16,2019-12-02
21,2019-12-03
29,2019-12-04
38,2019-12-05
48,2019-12-06
51,2019-12-07
68,2019-12-08
92,2019-12-09
101,2019-12-10
129,2019-12-11
162,2019-12-12
216,2019-12-13
312,2019-12-14
328,2019-12-15
468,2019-12-16
755,2019-12-17
763,2019-12-18
888,2019-12-19
1375,2019-12-20
1889,2019-12-21
1957,2019-12-22
2888,2019-12-23
3764,2019-12-24
4137,2019-12-25
6415,2019-12-26
8470,2019-12-27
10269,2019-12-28
11976,2019-12-29
15235,2019-12-30
22275,2019-12-31
21846,2020-01-01
27227,2020-01-02
42314,2020-01-03
61505,2020-01-04
80140,2020-01-05
89582,2020-01-06
119278,2020-01-07
147892,2020-01-08
201943,2020-01-09
247711,2020-01-10
325189,2020-01-11
433980,2020-01-12
513351,2020-01-13
707143,2020-01-14
947592,2020-01-15
1197389,2020-01-16
1362673,2020-01-17
1564469,2020-01-18
2330103,2020-01-19
3494338,2020-01-20
4338315,2020-01-21
4413066,2020-01-22
4844801,2020-01-23
6755284,2020-01-24
10430973,2020-01-25
11919104,2020-01-26
15086031,2020-01-27
19280852,2020-01-28
25080510,2020-01-29
23134775,2020-01-30
31152575,2020-01-31
37203067,2020-02-01
34379233,2020-02-02
41108839,2020-02-03
38674978,2020-02-04
43267910,2020-02-05
50513214,2020-02-06
49566735,2020-02-07
49386745,2020-02-08
47902261,2020-02-09
37000829,2020-02-10
48660380,2020-02-11
50384497,2020-02-12
47927775,2020-02-13
43661213,2020-02-14
33488399,2020-02-15
31580350,2020-02-16
37570634,2020-02-17
31093842,2020-02-18
23975455,2020-02-19
25374193,2020-02-20
21091426,2020-02-21
16700695,2020-02-22
22027898,2020-02-23
16224865,2020-02-24
16649632,2020-02-25
12246121,2020-02-26
11764509,2020-02-27
10717079,2020-02-28
10611517,2020-02-29
8078607,2020-03-01
7024277,2020-03-02
6239055,2020-03-03
5604218,2020-03-04
4846535,2020-03-05
4420941,2020-03-06
3593519,2020-03-07
3552134,2020-03-08
3230549,2020-03-09
3178631,2020-03-10
2283816,2020-03-11
2530655,2020-03-12
1770575,2020-03-13
1561445,2020-03-14
1542242,2020-03-15
1352935,2020-03-16
1144217,2020-03-17
953620,2020-03-18
886817,2020-03-19
816721,2020-03-20
728448,2020-03-21
596991,2020-03-22
526761,2020-03-23
422945,2020-03-24
413396,2020-03-25
455014,2020-03-26
338750,2020-03-27
205913,2020-03-28
251080,2020-03-29
210656,2020-03-30
229376,2020-03-31
165715,2020-04-01
134642,2020-04-02
138070,2020-04-03
109737,2020-04-04
105007,2020-04-05
81700,2020-04-06
89511,2020-04-07
69302,2020-04-08
57382,2020-04-09
62503,2020-04-10
52260,2020-04-11
43922,2020-04-12
37734,2020-04-13
35790,2020-04-14
31375,2020-04-15
19431,2020-04-16
25856,2020-04-17
19288,2020-04-18
15887,2020-04-19
18342,2020-04-20
15125,2020-04-21
12634,2020-04-22
13590,2020-04-23
9208,2020-04-24
9325,2020-04-25
7672,2020-04-26
6130,2020-04-27
5981,2020-04-28
5974,2020-04-29
4893,2020-04-30
5115,2020-05-01
3347,2020-05-02
3252,2020-05-03
2617,2020-05-04
2405,2020-05-05
2219,2020-05-06
1759,2020-05-07
1538,2020-05-08
1433,2020-05-09
1285,2020-05-10
1197,2020-05-11
996,2020-05-12
856,2020-05-13
627,2020-05-14
729,2020-05-15
608,2020-05-16
481,2020-05-17
430,2020-05-18
347,2020-05-19
394,2020-05-20
296,2020-05-21
304,2020-05-22
235,2020-05-23
185,2020-05-24
176,2020-05-25
207,2020-05-26
165,2020-05-27
122,2020-05-28
87,2020-05-29
97,2020-05-30
70,2020-05-31
81,2020-06-01
