data,date
21846,2020-01-01
27227,2020-01-02
42314,2020-01-03
61505,2020-01-04
80140,2020-01-05
89582,2020-01-06
119278,2020-01-07
147892,2020-01-08
201943,2020-01-09
247711,2020-01-10
325189,2020-01-11
433980,2020-01-12
513351,2020-01-13
707143,2020-01-14
947592,2020-01-15
1197389,2020-01-16
1362673,2020-01-17
1564469,2020-01-18
2330103,2020-01-19
3494338,2020-01-20
4338315,2020-01-21
4413066,2020-01-22
4844801,2020-01-23
6755284,2020-01-24
10430973,2020-01-25
11919104,2020-01-26
15086031,2020-01-27
19280852,2020-01-28
25080510,2020-01-29
23134775,2020-01-30
31152575,2020-01-31
37203067,2020-02-01
34379233,2020-02-02
41108839,2020-02-03
38674978,2020-02-04
43267910,2020-02-05
50513214,2020-02-06
49566735,2020-02-07
49386745,2020-02-08
47902261,2020-02-09
37000829,2020-02-10
48660380,2020-02-11
50384497,2020-02-12
47927775,2020-02-13
43661213,2020-02-14
33488399,2020-02-15
31580350,2020-02-16
37570634,2020-02-17
31093842,2020-02-18
23975455,2020-02-19
25374193,2020-02-20
21091426,2020-02-21
16700695,2020-02-22
22027898,2020-02-23
16224865,2020-02-24
16649632,2020-02-25
12246121,2020-02-26
11764509,2020-02-27
10717079,2020-02-28
10611517,2020-02-29
8078607,2020-03-01
7024277,2020-03-02
6239055,2020-03-03
5604218,2020-03-04
4846535,2020-03-05
4420941,2020-03-06
3593519,2020-03-07
3552134,2020-03-08
3230549,2020-03-09
3178631,2020-03-10
2283816,2020-03-11
2530655,2020-03-12
1770575,2020-03-13
1561445,2020-03-14
1542242,2020-03-15
1352935,2020-03-16
1144217,2020-03-17
953620,2020-03-18
886817,2020-03-19
816721,2020-03-20
728448,2020-03-21
596991,2020-03-22
526761,2020-03-23
422945,2020-03-24
413396,2020-03-25
455014,2020-03-26
338750,2020-03-27
205913,2020-03-28
251080,2020-03-29
210656,2020-03-30
229376,2020-03-31
165715,2020-04-01
