incidence,date
0,2019-12-01
7,2019-12-02
7,2019-12-03
9,2019-12-04
10,2019-12-05
17,2019-12-06
19,2019-12-07
28,2019-12-08
31,2019-12-09
43,2019-12-10
47,2019-12-11
66,2019-12-12
75,2019-12-13
92,2019-12-14
135,2019-12-15
134,2019-12-16
204,2019-12-17
242,2019-12-18
330,2019-12-19
536,2019-12-20
603,2019-12-21
708,2019-12-22
1133,2019-12-23
1061,2019-12-24
1685,2019-12-25
2210,2019-12-26
2422,2019-12-27
3450,2019-12-28
4178,2019-12-29
6076,2019-12-30
7632,2019-12-31
9133,2020-01-01
11797,2020-01-02
17323,2020-01-03
23475,2020-01-04
24655,2020-01-05
39561,2020-01-06
39385,2020-01-07
55864,2020-01-08
72727,2020-01-09
92374,2020-01-10
114999,2020-01-11
163954,2020-01-12
179364,2020-01-13
241293,2020-01-14
332350,2020-01-15
390482,2020-01-16
493212,2020-01-17
590136,2020-01-18
920569,2020-01-19
1203708,2020-01-20
1207819,2020-01-21
1622693,2020-01-22
2024006,2020-01-23
2600024,2020-01-24
3101204,2020-01-25
3592227,2020-01-26
4514954,2020-01-27
4270953,2020-01-28
5974973,2020-01-29
7544780,2020-01-30
8573135,2020-01-31
9689316,2020-02-01
8583554,2020-02-02
9736677,2020-02-03
9006980,2020-02-04
9002700,2020-02-05
10431724,2020-02-06
8976984,2020-02-07
9008659,2020-02-08
8814007,2020-02-09
6604105,2020-02-10
8920998,2020-02-11
6302750,2020-02-12
6677359,2020-02-13
5116951,2020-02-14
5098730,2020-02-15
3853994,2020-02-16
3431911,2020-02-17
3603397,2020-02-18
3082895,2020-02-19
2390713,2020-02-20
1960833,2020-02-21
1895941,2020-02-22
1572893,2020-02-23
1429629,2020-02-24
1279798,2020-02-25
1071072,2020-02-26
742418,2020-02-27
807364,2020-02-28
730739,2020-02-29
599466,2020-03-01
530604,2020-03-02
549332,2020-03-03
462152,2020-03-04
380819,2020-03-05
363465,2020-03-06
322281,2020-03-07
271894,2020-03-08
240433,2020-03-09
199234,2020-03-10
194392,2020-03-11
163746,2020-03-12
154100,2020-03-13
127144,2020-03-14
106881,2020-03-15
115089,2020-03-16
94708,2020-03-17
67686,2020-03-18
63160,2020-03-19
67411,2020-03-20
50068,2020-03-21
41597,2020-03-22
34537,2020-03-23
31699,2020-03-24
32768,2020-03-25
26456,2020-03-26
20480,2020-03-27
20175,2020-03-28
17619,2020-03-29
15065,2020-03-30
12791,2020-03-31
12866,2020-04-01
11828,2020-04-02
9880,2020-04-03
6751,2020-04-04
7372,2020-04-05
5176,2020-04-06
6309,2020-04-07
5130,2020-04-08
4408,2020-04-09
4517,2020-04-10
4673,2020-04-11
3017,2020-04-12
3326,2020-04-13
1928,2020-04-14
1877,2020-04-15
2241,2020-04-16
2341,2020-04-17
1565,2020-04-18
1408,2020-04-19
1098,2020-04-20
993,2020-04-21
857,2020-04-22
595,2020-04-23
686,2020-04-24
673,2020-04-25
567,2020-04-26
470,2020-04-27
394,2020-04-28
341,2020-04-29
251,2020-04-30
230,2020-05-01
225,2020-05-02
175,2020-05-03
170,2020-05-04
126,2020-05-05
145,2020-05-06
166,2020-05-07
161,2020-05-08
133,2020-05-09
119,2020-05-10
95,2020-05-11
88,2020-05-12
83,2020-05-13
73,2020-05-14
76,2020-05-15
48,2020-05-16
66,2020-05-17
43,2020-05-18
33,2020-05-19
41,2020-05-20
35,2020-05-21
23,2020-05-22
19,2020-05-23
29,2020-05-24
17,2020-05-25
10,2020-05-26
10,2020-05-27
12,2020-05-28
9,2020-05-29
8,2020-05-30
10,2020-05-31
7,2020-06-01
